Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
3.87037,0.400904,0.0571824,-9.49646,0.000180481,-0.000116808,-0.000213314,-4.2559e-05,3.301e-05,1.3627e-05,0.327782,0.944524,0.00893524,-0.0188107,179.739,357.628,141.728,0,0,0,0,
3.89681,0.398503,0.0251603,-9.49881,-0.000359917,-0.000111246,0.0008104,-4.27159e-05,3.34244e-05,1.29629e-05,0.327835,0.944506,0.00892346,-0.0188161,179.741,357.628,141.722,0,0,0,0,
3.92294,0.379298,0.061757,-9.5035,0.000683287,0.000425855,-0.00128032,-4.30765e-05,3.34239e-05,1.30245e-05,0.327825,0.94451,0.00892702,-0.0187796,179.739,357.631,141.723,0,0,0,0,
3.94932,0.405705,0.0182984,-9.5082,0.000663267,-0.000113713,-0.00124439,-4.30567e-05,3.26407e-05,1.33101e-05,0.327635,0.944575,0.00889301,-0.0188161,179.744,357.629,141.746,0,0,0,0,
3.98091,0.381699,0.0503205,-9.5035,0.000109991,0.000388576,0.000339326,-4.25073e-05,3.26831e-05,1.29932e-05,0.327411,0.944653,0.00885868,-0.0188018,179.746,357.632,141.773,0,0,0,0,
4.00709,0.393702,0.0205857,-9.50115,-0.000402024,0.000407614,0.000842459,-4.21371e-05,3.32343e-05,1.35586e-05,0.327516,0.944618,0.00884409,-0.0187832,179.747,357.634,141.76,0,0,0,0,
4.03656,0.396102,0.0434586,-9.49646,-0.00139972,-0.000103503,-0.000688475,-4.22017e-05,3.29851e-05,1.33641e-05,0.327642,0.944574,0.00887266,-0.0187844,179.745,357.633,141.745,0,0,0,0,
4.06301,0.391301,0.0548951,-9.48001,0.000756595,-7.35503e-05,-0.000161428,-4.19776e-05,3.26296e-05,1.27993e-05,0.327664,0.944566,0.00888694,-0.0187627,179.742,357.635,141.743,0,0,0,0,
4.08907,0.391301,0.0434586,-9.5129,-0.000305496,-0.00112114,-0.000178769,-4.20826e-05,3.26634e-05,1.29292e-05,0.327673,0.944563,0.00890359,-0.0187706,179.741,357.633,141.742,0,0,0,0,
4.11522,0.408106,0.0709062,-9.5129,-0.000315975,-0.00109279,0.000349034,-4.21558e-05,3.24215e-05,1.30099e-05,0.327618,0.944581,0.00894838,-0.0187788,179.736,357.631,141.748,0,0,0,0,
4.14276,0.410506,0.061757,-9.51055,0.000683241,-2.65464e-05,-0.00118372,-4.19931e-05,3.27855e-05,1.32271e-05,0.327673,0.944561,0.00895923,-0.0188089,179.736,357.627,141.742,0,0,0,0,
4.16909,0.396102,0.0503205,-9.527,0.000131419,0.000506522,-0.000633094,-4.22337e-05,3.29072e-05,1.3311e-05,0.327703,0.944551,0.00895649,-0.018806,179.737,357.627,141.738,0,0,0,0,
4.19509,0.393702,0.0411713,-9.54344,0.000125162,0.00101421,0.000929896,-4.22361e-05,3.31065e-05,1.35064e-05,0.327785,0.944523,0.00894622,-0.0188217,179.738,357.626,141.728,0,0,0,0,
4.22085,0.3865,0.0480332,-9.5176,0.00168959,-4.76353e-05,-9.03942e-05,-4.19786e-05,3.32381e-05,1.33899e-05,0.327932,0.944471,0.00894291,-0.0188237,179.739,357.626,141.71,0,0,0,0,
4.24643,0.388901,0.0503205,-9.49881,-0.00094977,0.000486437,-9.8601e-05,-4.18139e-05,3.33223e-05,1.33153e-05,0.328148,0.944397,0.00895099,-0.0188012,179.738,357.628,141.684,0,0,0,0,
4.27305,0.396102,0.0343094,-9.5082,9.64943e-05,-0.000575304,0.000425387,-4.22494e-05,3.33588e-05,1.25137e-05,0.328297,0.944345,0.00894525,-0.0188027,179.739,357.628,141.666,0,0,0,0,
4.30217,0.403304,0.0297348,-9.5035,-0.00092387,0.00102286,0.000952199,-4.22513e-05,3.34061e-05,1.28323e-05,0.328491,0.944278,0.00894365,-0.0187962,179.74,357.629,141.642,0,0,0,0,
4.32841,0.391301,0.0457459,-9.48001,0.000158699,-0.000558686,-0.000106692,-4.25202e-05,3.34162e-05,1.26994e-05,0.32857,0.94425,0.00893763,-0.0187866,179.74,357.63,141.633,0,0,0,0,
4.35472,0.400904,0.0434586,-9.51525,0.000151142,0.000493983,0.00089943,-4.21558e-05,3.34381e-05,1.31208e-05,0.32872,0.944198,0.00892806,-0.0188043,179.742,357.628,141.615,0,0,0,0,
4.38409,0.391301,0.0343094,-9.49881,0.00118253,-0.000568116,-0.000181977,-4.21863e-05,3.34463e-05,1.33846e-05,0.328877,0.944143,0.00893262,-0.01882,179.743,357.627,141.595,0,0,0,0,
4.4116,0.422509,0.022873,-9.5176,8.55308e-05,0.00049834,0.00142597,-4.22206e-05,3.30961e-05,1.36104e-05,0.328979,0.944107,0.00890086,-0.0188723,179.748,357.622,141.583,0,0,0,0,
