Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
3.75716,-0.04175,0.105216,-9.76429,-0.0840919,-0.099174,1.23234,-3.0652e-05,-1.11735e-05,2.04632e-05,0.0154269,-0.999767,-0.00837931,0.0125612,179.017,358.576,181.78,5.21052e-05,0.10992,-1.47687e-05,4.99683e-05,
3.78644,-0.410542,0.1441,-5.71855,0.0893768,-0.0683115,1.16742,-3.12036e-05,-1.18669e-05,2.02473e-05,0.00833954,-0.999881,-0.00667172,0.0111146,179.225,358.733,180.964,-5.21047e-05,0.102307,1.97945e-05,-4.81983e-05,
3.81922,-0.651764,0.869172,-12.8515,0.171322,-0.0683115,1.11953,-3.29287e-05,-1.24979e-05,1.97852e-05,-0.000474586,-0.999911,-0.00613949,0.0118628,179.297,358.64,179.954,-0.000130263,0.11111,6.25422e-05,-0.000114267,
3.84886,-0.0997361,1.5302,-6.1485,0.173451,-0.175798,1.13816,-3.34306e-05,-1.22013e-05,2.02954e-05,-0.00974729,-0.999868,-0.00819951,0.0100479,179.072,358.84,178.892,2.60528e-05,0.100641,-1.47414e-05,2.14812e-05,
3.88151,0.660171,1.18711,-14.9895,0.00636727,-0.239652,1.12911,-3.42155e-05,-1.15947e-05,2.07333e-05,-0.0166359,-0.999807,-0.00558781,0.00881519,179.376,358.979,178.099,-7.8158e-05,0.110634,5.10686e-05,-5.91664e-05,
3.91447,0.600155,-0.8196,-8.55903,0.210698,-0.127376,1.0759,-3.5045e-05,-1.13843e-05,2.13703e-05,-0.0243688,-0.999675,-0.00131764,0.00742435,179.87,359.146,177.208,0.000234473,0.113013,-0.000172245,0.000159089,
3.94373,0.242463,-0.967516,-7.26683,-0.108569,-0.00552222,0.974797,-3.66467e-05,-1.20587e-05,2.10169e-05,-0.0280281,-0.99959,0.000473586,0.00591555,180.073,359.324,176.787,-7.81575e-05,0.0992137,6.23852e-05,-4.70817e-05,
3.97684,1.12349,-0.902045,-15.4781,0.0500005,-0.051816,1.08548,-3.73073e-05,-1.2268e-05,2.10646e-05,-0.035013,-0.999372,0.000130422,0.00553577,180.037,359.367,175.987,2.60528e-05,0.110634,-2.24009e-05,1.33022e-05,
4.00941,0.213655,-1.43309,-9.05946,-0.070789,-0.00552222,1.12805,-3.81436e-05,-1.2239e-05,2.12166e-05,-0.0432149,-0.999047,-0.00101273,0.00609259,179.914,359.297,175.047,0.00010421,0.113727,-9.50618e-05,4.26959e-05,
4.03882,1.84848,-0.186714,-4.28304,-0.219248,0.0413037,1.15997,-3.91465e-05,-1.2352e-05,2.11565e-05,-0.0470318,-0.998861,-0.000350495,0.00801345,180.003,359.081,174.608,-0.000130263,0.0987379,0.00012351,-4.13964e-05,
4.07168,-2.42382,1.13907,-11.0612,0.310204,-0.0821464,1.2052,-3.96604e-05,-1.13804e-05,1.97805e-05,-0.058159,-0.998285,-0.00100377,0.00662801,179.929,359.235,173.332,5.21052e-05,0.112775,-5.09537e-05,1.08936e-05,
4.10135,0.124832,0.914918,-8.97253,-0.0638716,-0.0832106,1.12592,-3.98465e-05,-1.12714e-05,2.00006e-05,-0.0652099,-0.997845,0.00162199,-0.00716409,180.132,0.831324,172.523,-0.00010421,0.100403,0.000103578,-1.14629e-05,
4.13399,1.33955,-0.584389,-0.831703,-0.023431,-0.0491554,1.12751,-4.11005e-05,-1.15631e-05,1.94938e-05,-0.0659924,-0.997784,0.008349,-0.00146414,180.944,0.230544,172.434,2.60528e-05,0.112537,-2.60527e-05,-6.03529e-08,
