Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.94826,0.415307,0.0526078,-9.5035,-0.000136646,0.000159178,-0.00067379,-4.11968E-05,3.26503E-05,0.000012989,0.329509,0.943877,0.00920686,-0.0208817,179.792,357.393,141.516,0,0,0,0
2.97778,0.436913,0.0274475,-9.5035,-0.000139216,-0.000396071,-0.00115775,-4.15147E-05,3.23346E-05,1.32114E-05,0.329531,0.943869,0.00919245,-0.0208889,179.794,357.393,141.514,0,0,0,0
3.00555,0.427311,0.0320221,-9.5317,0.000893481,-0.000389727,-0.00163443,-4.20442E-05,3.27323E-05,1.31894E-05,0.329477,0.943888,0.00917225,-0.0208838,179.796,357.394,141.52,0,0,0,0
3.03341,0.436913,0.0365967,-9.50585,-0.000187643,-0.000865435,-2.37636E-05,-0.000042124,3.29908E-05,1.29338E-05,0.329476,0.943889,0.00916092,-0.0208724,179.797,357.396,141.52,0,0,0,0
3.0633,0.432112,0.0274475,-9.49176,0.000381824,0.000642391,0.00053414,-0.000042195,3.28604E-05,1.30442E-05,0.329437,0.943902,0.00918049,-0.0208683,179.795,357.395,141.525,0,0,0,0
3.0915,0.410506,0.0365967,-9.50585,-0.00013062,0.00115612,-0.00154343,-4.19569E-05,3.30787E-05,1.28467E-05,0.329479,0.943888,0.00919122,-0.0208718,179.794,357.395,141.52,0,0,0,0
3.11878,0.446515,0.0274475,-9.49176,-0.00115047,0.000631837,7.54185E-05,-4.18058E-05,3.29568E-05,1.29653E-05,0.329551,0.943862,0.00920166,-0.0208921,179.794,357.392,141.511,0,0,0,0
3.14822,0.429711,0.0343094,-9.48941,-0.000574421,-0.000426603,0.000107337,-4.16689E-05,3.31145E-05,1.30706E-05,0.329708,0.943807,0.00919692,-0.0208982,179.795,357.391,141.492,0,0,0,0
3.17617,0.417708,0.0320221,-9.49881,0.000466485,-0.000418805,0.000114739,-4.18897E-05,3.29719E-05,1.28554E-05,0.329773,0.943785,0.00918906,-0.020872,179.795,357.395,141.484,0,0,0,0
3.20518,0.432112,0.038884,-9.49881,0.000470506,-0.00042619,0.000131667,-4.20989E-05,0.000031779,1.29945E-05,0.329434,0.943904,0.0091771,-0.0208486,179.794,357.398,141.525,0,0,0,0
3.23149,0.427311,0.0182984,-9.49176,-0.000565451,0.000632683,0.000619665,-4.21498E-05,3.23844E-05,1.33038E-05,0.329245,0.94397,0.00913748,-0.0208437,179.798,357.4,141.548,0,0,0,0
3.25764,0.434512,0.0503205,-9.50585,-3.17506E-05,0.000602558,0.000615191,-4.19234E-05,0.000032776,1.32602E-05,0.329229,0.943976,0.00916961,-0.0208478,179.794,357.398,141.55,0,0,0,0
3.2843,0.420109,0.0343094,-9.47531,-1.77249E-05,7.96039E-05,-0.000452682,-4.20421E-05,3.30206E-05,1.32265E-05,0.329269,0.943962,0.0091667,-0.0208184,179.794,357.401,141.546,0,0,0,0
3.31308,0.42491,0.0114365,-9.5035,-0.00000396,4.92614E-05,0.00060533,-4.24583E-05,3.24289E-05,1.30462E-05,0.329164,0.944,0.00910335,-0.0208037,179.8,357.405,141.558,0,0,0,0
3.34006,0.405705,0.0297348,-9.53405,8.74139E-06,0.0010855,-0.000449561,-4.21045E-05,3.33333E-05,1.33475E-05,0.329214,0.943983,0.00909454,-0.0208011,179.801,357.406,141.552,0,0,0,0
3.368,0.42491,0.0182984,-9.5176,2.08393E-05,3.27751E-05,-0.000415642,-4.19095E-05,0.000033116,0.000012791,0.32931,0.94395,0.00908502,-0.0207724,179.801,357.409,141.54,0,0,0,0
3.39735,0.432112,0.022873,-9.5176,0.00104544,6.0387E-06,-0.000386313,-4.24283E-05,3.32763E-05,1.33017E-05,0.329378,0.943926,0.00905657,-0.0207882,179.805,357.409,141.532,0,0,0,0
3.43663,0.42491,0.0297348,-9.48236,-1.78944E-05,5.75185E-06,0.00117744,-4.20958E-05,3.36103E-05,1.32612E-05,0.329544,0.943868,0.00905744,-0.0207816,179.805,357.409,141.512,0,0,0,0
3.46946,0.436913,0.0137238,-9.5129,-4.31389E-06,0.000512298,0.000585038,-4.17584E-05,3.30995E-05,1.36168E-05,0.32984,0.943764,0.00903509,-0.0208137,179.809,357.407,141.476,0,0,0,0
3.49567,0.422509,0.0343094,-9.50115,-0.000004109,-0.00105745,-0.000468884,-4.14164E-05,3.27142E-05,1.37091E-05,0.329924,0.943736,0.00901537,-0.0207837,179.811,357.411,141.466,0,0,0,0
3.53195,0.427311,0.0160111,-9.46826,0.00052789,0.00158935,-0.000953335,-4.14716E-05,3.21964E-05,1.35125E-05,0.329866,0.943756,0.00898179,-0.0208076,179.815,357.409,141.473,0,0,0,0
3.56627,0.400904,0.022873,-9.51525,-1.63428E-05,0.000561509,-0.000431221,-4.19331E-05,3.29399E-05,1.33083E-05,0.329847,0.943764,0.00893519,-0.0207726,179.819,357.415,141.475,0,0,0,0
3.59403,0.422509,0.0205857,-9.48706,-0.00104163,0.00104155,0.00062789,-4.23073E-05,3.31215E-05,1.34988E-05,0.329846,0.943764,0.00891639,-0.02078,179.821,357.415,141.475,0,0,0,0
3.62191,0.417708,0.0114365,-9.50115,0.00160442,-2.15955E-05,0.000585482,-4.22878E-05,3.32418E-05,1.33792E-05,0.329877,0.943753,0.0088967,-0.020777,179.823,357.416,141.471,0,0,0,0
