Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
4.58889,0.240062,0.185271,-9.49411,4.75347e-05,-0.000390457,6.17057e-05,-2.34489e-05,-8.59201e-06,2.02065e-05,0.173021,-0.984777,-0.00781174,0.0147246,178.826,358.493,199.945,0,0,0,0,
4.62159,0.244863,0.201282,-9.50585,4.52716e-05,-0.000928696,0.000590574,-2.39119e-05,-8.30929e-06,2.04054e-05,0.172662,-0.98484,-0.00780808,0.0147135,178.827,358.494,199.903,0,0,0,0,
4.66864,0.259267,0.185271,-9.5129,0.000596995,0.000158984,0.000126313,-2.38064e-05,-8.43135e-06,2.06237e-05,0.172041,-0.984949,-0.00782458,0.01468,178.827,358.497,199.831,0,0,0,0,
4.71389,0.261668,0.19442,-9.52465,0.000590358,0.000712348,9.01446e-05,-2.47938e-05,-8.36784e-06,2.02924e-05,0.170787,-0.985167,-0.00787863,0.014667,178.823,358.498,199.685,0,0,0,0,
4.74281,0.242463,0.192133,-9.49881,-0.000427617,-0.000289809,0.000615589,-2.4406e-05,-7.7313e-06,2.01959e-05,0.16963,-0.985367,-0.00788465,0.014678,178.824,358.496,199.551,0,0,0,0,
4.7691,0.266469,0.212719,-9.51995,0.00165739,0.000737544,5.44749e-05,-2.37348e-05,-8.00248e-06,2.06612e-05,0.169027,-0.98547,-0.007911,0.0146972,178.821,358.493,199.481,0,0,0,0,
4.79536,0.249665,0.189846,-9.48236,4.56329e-05,0.000727454,6.43954e-05,-2.3822e-05,-7.92239e-06,2.1197e-05,0.168502,-0.98556,-0.00790359,0.0147076,178.823,358.491,199.42,0,0,0,0,
4.82479,0.240062,0.205857,-9.50115,-0.00043964,-0.000325218,-0.000459138,-2.38089e-05,-7.87025e-06,2.14164e-05,0.167912,-0.98566,-0.0079275,0.0147131,178.821,358.491,199.351,0,0,0,0,
4.85112,0.237661,0.178409,-9.50585,0.000619873,0.0012106,0.000601307,-2.44013e-05,-7.85138e-06,2.14213e-05,0.167266,-0.985771,-0.00789673,0.0146972,178.826,358.491,199.276,0,0,0,0,
4.87748,0.252065,0.187558,-9.49646,7.10692e-05,-0.000924204,-0.000465903,-2.37364e-05,-8.08119e-06,2.11981e-05,0.166853,-0.985841,-0.00789183,0.014705,178.827,358.49,199.228,0,0,0,0,
4.90828,0.261668,0.208144,-9.47766,9.07797e-05,0.000129839,9.87761e-05,-2.31534e-05,-8.27805e-06,2.13398e-05,0.166688,-0.985868,-0.00790781,0.0147267,178.825,358.487,199.209,0,0,0,0,
4.93535,0.254466,0.196707,-9.49881,-0.000952125,-0.000370605,9.4071e-05,-2.3465e-05,-8.36601e-06,2.11342e-05,0.166644,-0.985876,-0.00792656,0.0147023,178.823,358.49,199.204,0,0,0,0,
