Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
3.45344,0.283273,0.201282,-9.47531,-0.00121262,-4.03635e-06,4.38131e-05,-2.34362e-05,-9.05018e-06,1.94963e-05,0.171791,-0.984948,-0.00792788,0.0173828,178.762,358.194,199.807,0,0,0,0,
3.47895,0.280873,0.201282,-9.5082,-0.000660621,0.000540473,0.00105529,-2.38978e-05,-8.33897e-06,1.99532e-05,0.171563,-0.984988,-0.00794595,0.0173586,178.761,358.197,199.781,0,0,0,0,
3.50484,0.280873,0.212719,-9.46826,-0.000654193,-0.00100559,0.00100504,-2.39356e-05,-8.14147e-06,2.02492e-05,0.171064,-0.985075,-0.00798007,0.0173253,178.759,358.2,199.722,0,0,0,0,
3.53803,0.288075,0.196707,-9.47531,0.000406127,-0.00100911,-0.00011697,-2.32837e-05,-9.02843e-06,2.01768e-05,0.171239,-0.985045,-0.00796453,0.0173044,178.761,358.203,199.743,0,0,0,0,
3.56632,0.302478,0.205857,-9.46826,-0.000651792,5.24875e-05,-0.000630692,-2.35497e-05,-9.10794e-06,2.0635e-05,0.171582,-0.984986,-0.00796147,0.0173118,178.76,358.202,199.783,0,0,0,0,
3.59845,0.312081,0.221868,-9.527,-0.000111233,4.84828e-05,0.000427667,-2.30091e-05,-8.95376e-06,2.03809e-05,0.172074,-0.9849,-0.00796356,0.0173087,178.759,358.203,199.84,0,0,0,0,
3.62346,0.290475,0.212719,-9.49411,0.000920132,-0.000992406,0.000394791,-2.33772e-05,-8.80033e-06,2.02731e-05,0.172233,-0.984872,-0.00795706,0.0173039,178.76,358.204,199.858,0,0,0,0,
3.65637,0.307279,0.21958,-9.48471,0.000373151,-0.000452541,-0.000622198,-2.33472e-05,-9.01649e-06,2.01843e-05,0.172575,-0.984812,-0.00797733,0.0173098,178.757,358.204,199.898,0,0,0,0,
3.68229,0.283273,0.198995,-9.46591,-0.000151394,0.00112688,0.000433497,-2.33313e-05,-9.09628e-06,2.03982e-05,0.172901,-0.984755,-0.0079652,0.0173184,178.757,358.203,199.936,0,0,0,0,
3.70873,0.288075,0.203569,-9.44947,-0.000663476,4.71566e-05,0.000919636,-2.38483e-05,-9.1591e-06,2.05234e-05,0.173133,-0.984714,-0.00796791,0.0173265,178.756,358.203,199.963,0,0,0,0,
3.7363,0.307279,0.226442,-9.50115,0.000406696,-0.000486894,0.000381585,-2.36461e-05,-8.92401e-06,2.06176e-05,0.173233,-0.984696,-0.00799048,0.0173317,178.754,358.203,199.975,0,0,0,0,
3.76624,0.280873,0.208144,-9.5082,-0.000685308,0.000524385,-0.000176542,-2.34114e-05,-9.34034e-06,2.0536e-05,0.173634,-0.984626,-0.00798507,0.0173229,178.754,358.204,200.022,0,0,0,0,
3.7946,0.276071,0.215006,-9.48941,-0.000170927,0.000486905,-0.000155624,-2.33711e-05,-9.04186e-06,2.03782e-05,0.173912,-0.984577,-0.00798647,0.0173054,178.753,358.206,200.054,0,0,0,0,
3.82347,0.290475,0.198995,-9.47766,0.000348212,-5.08316e-06,-0.000651419,-2.29726e-05,-8.77243e-06,2.05846e-05,0.174151,-0.984535,-0.00799262,0.0172919,178.752,358.208,200.082,0,0,0,0,
3.84993,0.295276,0.205857,-9.48706,0.000369173,-0.00156271,0.000405665,-2.33539e-05,-8.68428e-06,2.04035e-05,0.174155,-0.984534,-0.00798511,0.0172889,178.753,358.209,200.082,0,0,0,0,
3.87932,0.288075,0.221868,-9.47296,0.000339082,-0.00152585,0.00143744,-2.33318e-05,-8.09862e-06,1.98034e-05,0.173752,-0.984606,-0.00799378,0.0172562,178.754,358.212,200.035,0,0,0,0,
3.91379,0.285674,0.189846,-9.48471,-0.00121799,0.000127176,-0.000147678,-2.34089e-05,-8.74864e-06,2.05237e-05,0.173635,-0.984627,-0.00796674,0.0172245,178.758,358.215,200.021,0,0,0,0,
3.94625,0.304879,0.205857,-9.48706,-0.000130706,-0.000401089,-0.000693791,-2.33413e-05,-8.27302e-06,2.06544e-05,0.173283,-0.984689,-0.00797642,0.0172623,178.756,358.21,199.981,0,0,0,0,
3.97967,0.283273,0.205857,-9.47531,0.000889072,-0.000913795,-0.00168683,-2.35899e-05,-8.36465e-06,2.04482e-05,0.172978,-0.984742,-0.00797467,0.0172404,178.758,358.212,199.945,0,0,0,0,
4.01133,0.300078,0.210431,-9.47766,0.000344284,0.000646593,-8.41059e-05,-2.34561e-05,-8.79343e-06,2.0274e-05,0.172921,-0.984752,-0.00797206,0.0172968,178.757,358.206,199.939,0,0,0,0,
4.042,0.297677,0.203569,-9.47766,-0.000162063,0.00213412,0.000428606,-2.3745e-05,-9.02093e-06,2.01769e-05,0.17311,-0.984718,-0.00795674,0.0172968,178.758,358.206,199.96,0,0,0,0,
4.07163,0.283273,0.212719,-9.49176,0.000364944,0.000524689,-0.000123605,-2.35859e-05,-9.09912e-06,2.03934e-05,0.173325,-0.984681,-0.00795226,0.0172934,178.759,358.206,199.986,0,0,0,0,
4.10425,0.300078,0.205857,-9.5082,-0.00121898,-1.88109e-05,0.00040441,-2.3631e-05,-8.90826e-06,2.04915e-05,0.173526,-0.984646,-0.00794812,0.0172788,178.759,358.208,200.009,0,0,0,0,
4.1339,0.302478,0.203569,-9.49646,-0.000134872,-0.000512181,-0.00114769,-2.3515e-05,-8.50551e-06,1.98574e-05,0.17341,-0.984666,-0.00794761,0.0172725,178.759,358.209,199.995,0,0,0,0,
4.1665,0.297677,0.208144,-9.46356,0.000356698,4.29507e-05,-0.000101998,-2.37734e-05,-8.51879e-06,1.96314e-05,0.173065,-0.984727,-0.00794399,0.0172662,178.76,358.209,199.955,0,0,0,0,
4.19947,0.304879,0.208144,-9.51525,0.000319619,2.7407e-05,-0.0016777,-2.34847e-05,-8.66156e-06,1.96612e-05,0.172901,-0.984755,-0.00794275,0.0172872,178.76,358.206,199.936,0,0,0,0,
4.22906,0.300078,0.215006,-9.47296,-0.000746695,3.86145e-05,-7.7486e-05,-2.31498e-05,-8.59971e-06,2.00716e-05,0.172868,-0.984761,-0.00797576,0.0172935,178.757,358.206,199.932,0,0,0,0,
